ExtractDate,FHRSID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingDate,Longitude,Latitude
2/14/2014,129960,Living Room,Restaurant/Cafe/Canteen,1,150 St Vincent Street,Glasgow,G2 5NE,6/16/2010,-4.258872,55.861888
2/14/2014,551901,Locavore,Restaurant/Cafe/Canteen,1,66 Nithsdale Road,Glasgow,G41 2AN,5/23/2013,-4.271241,55.836953
2/14/2014,116796,Loch Fyne Shellfish Bar,Restaurant/Cafe/Canteen,1,192 London Road,Glasgow,G40 1PB,9/30/2011,-4.238478,55.854064
2/14/2014,126056,Lodge Knightswood No.1445,Restaurant/Cafe/Canteen,1,40 Priory Road,Glasgow,G13 2SZ,2/3/2004,-4.337332,55.894988
2/14/2014,96723,Lodging House Mission,Restaurant/Cafe/Canteen,1,35 East Campbell Street,Glasgow,G1 5DT,2/2/2011,-4.237527,55.856148
2/14/2014,75196,Log Cabin Restaurant,Restaurant/Cafe/Canteen,1,32 Bredisholm Road,Glasgow,G69 7HL,11/16/2012,-4.10582,55.850295
2/14/2014,511164,Lola And Livvy's,Restaurant/Cafe/Canteen,1,245 Argyle Street,Glasgow,G2 8DL,2/25/2013,-4.258365,55.858383
2/14/2014,116804,London Road Social Club,Restaurant/Cafe/Canteen,1,1524 London Road,Glasgow,G31 4QA,5/21/2009,-4.194612,55.844591
2/14/2014,581096,Loon Fung,Restaurant/Cafe/Canteen,1,417 Sauchiehall Street,Glasgow,G2 3LG,6/8/2013,-4.269064,55.865924
2/14/2014,406812,Lord Hope Cafe,Restaurant/Cafe/Canteen,1,139 St James Road,Glasgow,G4 0LY,7/22/2013,-4.255641,55.866893
2/14/2014,133163,Lord Todd Amenity Centre,Restaurant/Cafe/Canteen,1,11 Weaver Street,Glasgow,G4 0RD,12/19/2013,-4.238014,55.863222
2/14/2014,35805,Lucky 7,Restaurant/Cafe/Canteen,1,166 Bath Street,Glasgow,G2 4TB,6/19/2012,-4.260932,55.864609
